title,year_released,rating,category
Ο κανόνας του παιχνιδιού,1939,8,"Comedy, Drama"
Θωρηκτόν Ποτέμκιν,1925,8,"Drama, History, Thriller"
Στα Μαχαίρια,2019,7.9,"Comedy, Crime, Drama"
Κλέφτες καταστημάτων,2018,7.9,"Crime, Drama"
Ιστορία γάμου,2019,7.9,"Comedy, Drama, Romance"
Hindi Medium,2017,7.9,"Comedy, Drama"
Να με φωνάζεις με τ' όνομά σου,2017,7.9,"Drama, Romance"
Εγώ ο Ντάνιελ Μπλέικ,2016,7.9,Drama
Κυνήγι ανθρώπων,2016,7.9,"Adventure, Comedy, Drama"
M.S. Dhoni: The Untold Story,2016,7.9,"Biography, Drama, Sport"
Captain Fantastic,2016,7.9,"Comedy, Drama"
Sing Street,2016,7.9,"Comedy, Drama, Music"
Τζότζο,2019,7.9,"Comedy, Drama, War"
Η Άφιξη,2016,7.9,"Drama, Sci-Fi"
Gully Boy,2019,7.9,"Drama, Music, Romance"
Before Midnight,2013,7.9,"Drama, Romance"
Κάποτε στην Ανατολία,2011,7.9,"Crime, Drama"
Bohemian Rhapsody,2018,7.9,"Biography, Drama, Music"
Τα πλεονεκτήματα του να είσαι στο περιθώριο,2012,7.9,"Drama, Romance"
The Artist,2011,7.9,"Comedy, Drama, Romance"
Αγάπη,2012,7.9,Drama
Προφήτης,2009,7.9,"Crime, Drama"
Άσε το κακό να μπει,2008,7.9,"Crime, Drama, Fantasy"
Ο παλαιστής,2008,7.9,"Drama, Sport"
Jab We Met,2007,7.9,"Comedy, Drama, Romance"
Μεγαλώνοντας,2014,7.9,Drama
"4 μήνες, 3 εβδομάδες & 2 μέρες",2007,7.9,Drama
Αποστολή στην Μπριζ,2008,7.9,"Comedy, Crime, Drama"
The Man from Earth,2007,7.9,"Drama, Fantasy, Mystery"
Γράμματα από το Ίβο Τζίμα,2006,7.9,"Action, Adventure, Drama"
The Fall,2006,7.9,"Adventure, Drama, Fantasy"
Η ζωή του Πι,2012,7.9,"Adventure, Drama, Fantasy"
C.R.A.Z.Y.,2005,7.9,"Comedy, Drama"
Τα Παιδιά της Χορωδίας,2004,7.9,"Comedy, Drama, Music"
Kal Ho Naa Ho,2003,7.9,"Comedy, Drama, Musical"
"Μαζί, ποτέ!",2004,7.9,"Drama, Romance"
Σκοτεινό ποτάμι,2003,7.9,"Crime, Drama, Mystery"
Sennen joyû,2001,7.9,"Animation, Drama, Fantasy"
Μίλα της,2002,7.9,"Drama, Mystery, Romance"
No Man's Land,2001,7.9,"Comedy, Drama, War"
9 βασίλισσες,2000,7.9,"Crime, Drama, Thriller"
Όλα για τη μητέρα μου,1999,7.9,Drama
Σχεδόν διάσημοι,2000,7.9,"Adventure, Comedy, Drama"
Οδός Μαλχόλαντ,2001,7.9,"Drama, Mystery, Thriller"
Ξέφρενες νύχτες,1997,7.9,Drama
Mimi wo sumaseba,1995,7.9,"Animation, Drama, Family"
Once Were Warriors,1994,7.9,"Crime, Drama"
Ιλιγγιώδης έρωτας,1993,7.9,"Crime, Drama, Romance"
Τρία χρώματα: Η μπλε ταινία,1993,7.9,"Drama, Music, Mystery"
Υπόθεση Καρλίτο,1993,7.9,"Crime, Drama, Thriller"
Ο ψαλιδοχέρης,1990,7.9,"Drama, Fantasy, Romance"
Το αριστερό μου πόδι,1989,7.9,"Biography, Drama"
Κίκι: Η Μικρή Μαγισσούλα,1989,7.9,"Animation, Adventure, Drama"
Απιστίες και αμαρτίες,1989,7.9,"Comedy, Drama"
Οι αδιάφθοροι,1987,7.9,"Crime, Drama, Thriller"
Η Χάνα και οι αδελφές της,1986,7.9,"Comedy, Drama"
Μπραζίλ,1985,7.9,"Drama, Sci-Fi"
Μανχάταν,1979,7.9,"Comedy, Drama, Romance"
Η παράσταση αρχίζει,1979,7.9,"Drama, Music, Musical"
La montaña sagrada,1973,7.9,"Adventure, Drama, Fantasy"
Θυμάμαι,1973,7.9,"Comedy, Drama"
Harold and Maude,1971,7.9,"Comedy, Drama, Romance"
"Πάττον, ο θρύλος της Νορμανδίας",1970,7.9,"Biography, Drama, War"
Το λιοντάρι του χειμώνα,1968,7.9,"Biography, Drama, History"
Ιστορία ενός εγκλήματος,1967,7.9,"Crime, Drama, Mystery"
Κάτω από έναν Άλλον Ήλιο,1962,7.9,"Drama, Thriller"
Σπάρτακος,1960,7.9,"Adventure, Biography, Drama"
Η Περιπέτεια,1960,7.9,"Drama, Mystery, Romance"
"Χιροσίμα, αγάπη μου",1959,7.9,"Drama, Romance"
Οι δέκα εντολές,1956,7.9,"Adventure, Drama"
Η αιχμάλωτος της ερήμου,1956,7.9,"Adventure, Drama, Western"
Ανατολικά της Εδέμ,1955,7.9,Drama
Χάρβεϊ,1950,7.9,"Comedy, Drama, Fantasy"
Η ζούγκλα της ασφάλτου,1950,7.9,"Crime, Drama, Film-Noir"
Το Θαύμα της 34ης Οδού,1947,7.9,"Comedy, Drama, Family"
Χαμένο Σαββατοκύριακο,1945,7.9,"Drama, Film-Noir"
Ξαναπαντρεύομαι τη γυναίκα μου,1940,7.9,"Comedy, Drama, Romance"
